"Designator","Mid X","Mid Y","Layer","Rotation"
"C6","72.39mm","-86.36mm","top","180.0"
"U4","80.772mm","-102.997mm","top","270.0"
"R2","73.216mm","-105.727mm","top","0.0"
"L1","84.044mm","-90.17mm","top","180.0"
"D1","83.058mm","-98.679mm","top","180.0"
"C7","72.517mm","-103.391mm","top","-90.0"
"C5","89.535mm","-105.918mm","top","0.0"
"C4","89.535mm","-102.87mm","top","0.0"
"C3","89.535mm","-104.394mm","top","0.0"
"C2","78.613mm","-99.441mm","top","0.0"
"C1","71.755mm","-96.52mm","top","180.0"
"U1","78.74mm","-118.11mm","top","180.0"
"R1","74.041mm","-103.441mm","top","90.0"
"J1","82.24mm","-78.43mm","top","180.0"
