"Designator","JLCPCB Part #","Comment","Footprint"
"C1, C3, ","C307331","100nF","Capacitor_SMD:C_0402_1005Metric"
"C2, C4, ","C52923","1uF","Capacitor_SMD:C_0402_1005Metric"
"J1, ","","INPUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J2, ","","OUTPUT_5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J3, ","","OUTPUT_3.3V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"R1, ","C25120","49.9Ω","Resistor_SMD:R_0402_1005Metric"
"R2, ","C25082","150Ω","Resistor_SMD:R_0402_1005Metric"
"R3, ","C25087","200Ω","Resistor_SMD:R_0402_1005Metric"
"R4, ","C25104","330Ω","Resistor_SMD:R_0402_1005Metric"
"U1, U2, ","C75510","LM317_TO-252","Package_TO_SOT_SMD:TO-252-2"
