"Designator","Mid X","Mid Y","Layer","Rotation"
"U2","93.98mm","-68.58mm","top","0.0"
"R4","90.805mm","-63.625mm","top","90.0"
"R3","92.71mm","-64.135mm","top","180.0"
"J3","104.14mm","-66.04mm","top","0.0"
"C4","101.6mm","-67.31mm","top","-90.0"
"C3","91.44mm","-73.025mm","top","0.0"
"U1","93.98mm","-55.88mm","top","0.0"
"R2","90.805mm","-50.925mm","top","90.0"
"R1","92.71mm","-51.435mm","top","180.0"
"J2","104.14mm","-55.88mm","top","0.0"
"J1","85.09mm","-60.955mm","top","0.0"
"C2","101.6mm","-57.15mm","top","-90.0"
"C1","91.44mm","-60.325mm","top","0.0"
