"Designator","Mid X","Mid Y","Layer","Rotation"
"C11","125.73mm","-85.09mm","top","90.0"
"R2","102.87mm","-48.895mm","top","90.0"
"R7","99.06mm","-60.96mm","top","90.0"
"J1","107.315mm","-45.085mm","top","-90.0"
"C9","111.76mm","-85.09mm","top","-90.0"
"Q2","88.265mm","-86.995mm","top","-90.0"
"C3","116.205mm","-75.565mm","top","90.0"
"J2","72.731mm","-121.825mm","top","180.0"
"R11","87.63mm","-75.565mm","top","90.0"
"C4","120.015mm","-75.565mm","top","90.0"
"R9","121.92mm","-75.565mm","top","90.0"
"C12","95.25mm","-85.09mm","top","90.0"
"R4","104.775mm","-60.96mm","top","90.0"
"C5","89.535mm","-75.565mm","top","90.0"
"C1","66.675mm","-79.375mm","top","180.0"
"Q1","118.745mm","-86.995mm","top","-90.0"
"C10","81.28mm","-85.09mm","top","-90.0"
"U1","101.6mm","-55.245mm","top","180.0"
"R8","118.11mm","-75.565mm","top","90.0"
"C2","106.045mm","-55.245mm","top","90.0"
"C6","85.725mm","-75.565mm","top","90.0"
"R1","106.045mm","-48.895mm","top","90.0"
"F1","77.47mm","-83.06mm","top","90.0"
"C7","83.82mm","-75.565mm","top","90.0"
"R10","91.44mm","-75.565mm","top","90.0"
"R6","100.965mm","-60.96mm","top","90.0"
"J3","110.831mm","-121.825mm","top","180.0"
"C8","114.3mm","-76.835mm","top","90.0"
"R3","99.695mm","-48.895mm","top","90.0"
"R5","102.87mm","-60.96mm","top","90.0"
