"Designator","Mid X","Mid Y","Layer","Rotation"
"C29","171.196mm","-58.928mm","top","0.0"
"U2","159.766mm","-65.278mm","top","0.0"
"R20","69.469mm","-93.876mm","top","90.0"
"R17","73.787mm","-93.876mm","top","90.0"
"R23","78.359mm","-93.876mm","top","90.0"
"C5","148.7635mm","-70.32mm","top","-90.0"
"R6","162.941mm","-61.618mm","top","90.0"
"R15","74.803mm","-93.876mm","top","90.0"
"J1","151.003mm","-48.649mm","top","180.0"
"C32","202.438mm","-65.6336mm","top","90.0"
"C9","141.5635mm","-65.92mm","top","180.0"
"C40","185.42mm","-65.786mm","top","90.0"
"C18","160.005mm","-89.403mm","top","0.0"
"J11","121.559mm","-81.667mm","top","0.0"
"R28","72.193mm","-83.646mm","top","0.0"
"C39","187.96mm","-65.786mm","top","90.0"
"C12","152.019mm","-66.19mm","top","0.0"
"Q3","187.96mm","-75.3456mm","top","-90.0"
"R8","160.005mm","-88.133mm","top","180.0"
"C2","153.02mm","-86.228mm","top","90.0"
"C36","194.564mm","-73.66mm","top","90.0"
"C49","89.973mm","-78.312mm","top","0.0"
"C6","143.5635mm","-68.12mm","top","180.0"
"C48","90.043mm","-82.954mm","top","-90.0"
"L1","89.789mm","-85.494mm","top","90.0"
"C34","181.356mm","-73.66mm","top","-90.0"
"J5","94.0065mm","-114.427mm","top","90.0"
"P1","156.01mm","-114.196mm","top","0.0"
"SW1","156.337mm","-45.87mm","top","90.0"
"C30","154.1575mm","-73.19175mm","top","-90.0"
"R25","66.929mm","-93.878mm","top","-90.0"
"C16","151.2055mm","-56.661mm","top","0.0"
"R38","178.943mm","-47.115mm","top","-90.0"
"C50","84.385mm","-75.01mm","top","90.0"
"U1","151.75mm","-89.403mm","top","180.0"
"C33","199.644mm","-73.5076mm","top","-90.0"
"RV1","135.5325mm","-74.81mm","top","180.0"
"C41","189.103mm","-46.99mm","top","-90.0"
"R18","78.289mm","-84.916mm","top","0.0"
"J13","130.449mm","-81.667mm","top","0.0"
"R16","70.485mm","-93.876mm","top","90.0"
"J2","178.649mm","-115.856mm","top","180.0"
"C21","76.073mm","-93.876mm","top","90.0"
"D3","150.3475mm","-85.273mm","top","0.0"
"R29","96.5915mm","-100.332mm","top","90.0"
"R27","75.368mm","-81.106mm","top","-90.0"
"C44","85.401mm","-86.948mm","top","0.0"
"C35","212.852mm","-73.5076mm","top","90.0"
"R31","106.7515mm","-100.332mm","top","90.0"
"C28","147.8075mm","-85.908mm","top","-90.0"
"C45","70.993mm","-92.352mm","top","0.0"
"R2","152.2mm","-109.751mm","top","180.0"
"C7","147.5635mm","-70.32mm","top","-90.0"
"C11","147.3635mm","-57.12mm","top","90.0"
"R39","189.738mm","-50.165mm","top","180.0"
"C20","71.755mm","-93.876mm","top","90.0"
"R7","144.399mm","-57.173mm","top","90.0"
"J8","136.819mm","-91.065mm","top","0.0"
"Y1","151.2055mm","-54.121mm","top","0.0"
"R24","77.343mm","-93.876mm","top","90.0"
"J12","139.339mm","-81.667mm","top","0.0"
"Q1","156.83mm","-89.403mm","top","180.0"
"C3","143.9635mm","-70.32mm","top","-90.0"
"R9","156.645mm","-107.846mm","top","-90.0"
"J7","104.1665mm","-114.427mm","top","90.0"
"R36","186.436mm","-65.786mm","top","90.0"
"J9","113.177mm","-96.399mm","top","0.0"
"J10","123.591mm","-96.399mm","top","0.0"
"C51","85.401mm","-75.01mm","top","90.0"
"R4","148.4955mm","-55.025mm","top","90.0"
"J6","114.5805mm","-114.44mm","top","90.0"
"C38","206.248mm","-65.6336mm","top","90.0"
"C22","79.375mm","-91.844mm","top","-90.0"
"C42","85.471mm","-107.846mm","top","90.0"
"R43","189.738mm","-52.705mm","top","180.0"
"C31","184.15mm","-65.786mm","top","90.0"
"BZ1","108.959mm","-60.602mm","top","180.0"
"R37","189.738mm","-48.895mm","top","180.0"
"R21","78.359mm","-91.844mm","top","90.0"
"C14","153.02mm","-92.578mm","top","-90.0"
"C25","81.337mm","-75.01mm","top","90.0"
"D1","152.835mm","-107.211mm","top","-90.0"
"U3","146.8035mm","-63.38mm","top","180.0"
"C37","203.708mm","-65.6336mm","top","90.0"
"C15","162.941mm","-66.698mm","top","90.0"
"R41","189.738mm","-51.435mm","top","180.0"
"R5","160.005mm","-90.673mm","top","180.0"
"U9","99.1315mm","-92.712mm","top","0.0"
"R42","178.943mm","-51.945mm","top","90.0"
"D2","156.6975mm","-73.19175mm","top","90.0"
"C1","150.48mm","-86.863mm","top","0.0"
"P2","76.835mm","-105.56mm","top","0.0"
"C47","89.973mm","-80.344mm","top","0.0"
"R35","188.976mm","-65.786mm","top","90.0"
"C4","146.1635mm","-57.12mm","top","90.0"
"R3","150.295mm","-110.261mm","top","-90.0"
"R32","101.0365mm","-100.332mm","top","90.0"
"C46","82.353mm","-75.01mm","top","90.0"
"SW2","145.415mm","-45.87mm","top","90.0"
"C17","154.3805mm","-54.121mm","top","-90.0"
"U10","184.023mm","-50.165mm","top","270.0"
"R1","148.675mm","-88.963mm","top","-90.0"
"C10","141.5635mm","-62.72mm","top","180.0"
"PS1","154.1575mm","-78.27175mm","top","180.0"
"R30","90.8765mm","-100.332mm","top","90.0"
"R26","89.973mm","-79.328mm","top","180.0"
"J3","204.7348mm","-115.85mm","top","180.0"
"R12","138.8025mm","-66.015mm","top","-90.0"
"C24","83.369mm","-75.01mm","top","90.0"
"C23","79.375mm","-93.876mm","top","90.0"
"C13","152.1635mm","-62.634mm","top","0.0"
"C26","72.193mm","-78.566mm","top","180.0"
"Q2","206.248mm","-75.2126mm","top","-90.0"
"R34","207.264mm","-65.6336mm","top","90.0"
"R19","67.945mm","-93.876mm","top","-90.0"
"R10","154.74mm","-107.846mm","top","-90.0"
"R33","204.724mm","-65.6336mm","top","90.0"
"R14","79.813mm","-86.44mm","top","90.0"
"C19","64.389mm","-100.48mm","top","90.0"
"F1","173.863mm","-72.032mm","top","90.0"
"C8","146.3635mm","-70.32mm","top","-90.0"
"R40","178.943mm","-49.405mm","top","90.0"
"R44","126.739mm","-60.602mm","top","180.0"
"C27","69.018mm","-81.106mm","top","90.0"
"R11","138.8025mm","-67.92mm","top","-90.0"
"J4","124.968mm","-114.45mm","top","90.0"
"R13","72.771mm","-93.876mm","top","90.0"
"U4","83.623mm","-81.176mm","top","90.0"
"Y2","72.193mm","-81.106mm","top","180.0"
"C43","77.273mm","-79.836mm","top","180.0"
"J14","136.398mm","-101.346mm","top","0.0"
"R22","77.343mm","-91.844mm","top","90.0"
