Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,91.313,-80.772,90.0,top
C2,22uF,C_0805_2012Metric,84.836,-80.899,90.0,top
D1,158301227,LED_1206_3216Metric,122.555,-69.215,0.0,top
D2,158301227,LED_1206_3216Metric,117.475,-69.215,0.0,top
D3,158301227,LED_1206_3216Metric,112.395,-69.215,0.0,top
D4,158301227,LED_1206_3216Metric,107.315,-69.215,0.0,top
D5,158301227,LED_1206_3216Metric,58.42,-62.23,180.0,top
D6,158301227,LED_1206_3216Metric,63.5,-62.23,180.0,top
D7,158301227,LED_1206_3216Metric,68.58,-62.23,180.0,top
D8,158301227,LED_1206_3216Metric,73.66,-62.23,180.0,top
D9,158301227,LED_1206_3216Metric,58.42,-48.895,180.0,top
D10,158301227,LED_1206_3216Metric,63.5,-48.895,180.0,top
D11,158301227,LED_1206_3216Metric,68.58,-48.895,180.0,top
D12,158301227,LED_1206_3216Metric,73.66,-48.895,180.0,top
D13,158301227,LED_1206_3216Metric,58.42,-69.215,180.0,top
D14,158301227,LED_1206_3216Metric,63.5,-69.215,180.0,top
D15,158301227,LED_1206_3216Metric,68.58,-69.215,180.0,top
D16,158301227,LED_1206_3216Metric,73.66,-69.215,180.0,top
D17,158301227,LED_1206_3216Metric,58.42,-72.39,180.0,top
D18,158301227,LED_1206_3216Metric,63.5,-72.39,180.0,top
D19,158301227,LED_1206_3216Metric,68.58,-72.39,180.0,top
D20,158301227,LED_1206_3216Metric,73.66,-72.39,180.0,top
D21,158301227,LED_1206_3216Metric,58.42,-82.55,180.0,top
D22,158301227,LED_1206_3216Metric,63.5,-82.55,180.0,top
D23,158301227,LED_1206_3216Metric,68.58,-82.55,180.0,top
D24,158301227,LED_1206_3216Metric,73.66,-82.55,180.0,top
D25,158301227,LED_1206_3216Metric,122.555,-82.55,0.0,top
D26,158301227,LED_1206_3216Metric,117.475,-82.55,0.0,top
D27,158301227,LED_1206_3216Metric,112.395,-82.55,0.0,top
D28,158301227,LED_1206_3216Metric,107.315,-82.55,0.0,top
D29,158301227,LED_1206_3216Metric,58.42,-59.055,180.0,top
D30,158301227,LED_1206_3216Metric,63.5,-59.055,180.0,top
D31,158301227,LED_1206_3216Metric,68.58,-59.055,180.0,top
D32,158301227,LED_1206_3216Metric,73.66,-59.055,180.0,top
D33,158301227,LED_1206_3216Metric,58.42,-52.07,180.0,top
D34,158301227,LED_1206_3216Metric,63.5,-52.07,180.0,top
D35,158301227,LED_1206_3216Metric,68.58,-52.07,180.0,top
D36,158301227,LED_1206_3216Metric,73.66,-52.07,180.0,top
D37,158301227,LED_1206_3216Metric,122.555,-59.055,0.0,top
D38,158301227,LED_1206_3216Metric,117.475,-59.055,0.0,top
D39,158301227,LED_1206_3216Metric,112.395,-59.055,0.0,top
D40,158301227,LED_1206_3216Metric,107.315,-59.055,0.0,top
D41,158301227,LED_1206_3216Metric,122.555,-72.39,0.0,top
D42,158301227,LED_1206_3216Metric,117.475,-72.39,0.0,top
D43,158301227,LED_1206_3216Metric,112.395,-72.39,0.0,top
D44,158301227,LED_1206_3216Metric,107.315,-72.39,0.0,top
D45,158301227,LED_1206_3216Metric,122.555,-52.07,0.0,top
D46,158301227,LED_1206_3216Metric,117.475,-52.07,0.0,top
D47,158301227,LED_1206_3216Metric,112.395,-52.07,0.0,top
D48,158301227,LED_1206_3216Metric,107.315,-52.07,0.0,top
D49,158301227,LED_1206_3216Metric,122.555,-48.895,0.0,top
D50,158301227,LED_1206_3216Metric,117.475,-48.895,0.0,top
D51,158301227,LED_1206_3216Metric,112.395,-48.895,0.0,top
D52,158301227,LED_1206_3216Metric,107.315,-48.895,0.0,top
D53,158301227,LED_1206_3216Metric,122.555,-79.375,0.0,top
D54,158301227,LED_1206_3216Metric,117.475,-79.375,0.0,top
D55,158301227,LED_1206_3216Metric,112.395,-79.375,0.0,top
D56,158301227,LED_1206_3216Metric,107.315,-79.375,0.0,top
D57,158301227,LED_1206_3216Metric,122.555,-62.23,0.0,top
D58,158301227,LED_1206_3216Metric,117.475,-62.23,0.0,top
D59,158301227,LED_1206_3216Metric,112.395,-62.23,0.0,top
D60,158301227,LED_1206_3216Metric,107.315,-62.23,0.0,top
D61,158301227,LED_1206_3216Metric,58.42,-79.375,180.0,top
D62,158301227,LED_1206_3216Metric,63.5,-79.375,180.0,top
D63,158301227,LED_1206_3216Metric,68.58,-79.375,180.0,top
D64,158301227,LED_1206_3216Metric,73.66,-79.375,180.0,top
J1,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,93.92,-89.425,180.0,top
Q1,AOD508,TO-252-2,93.98,-70.045,90.0,top
Q2,AOD508,TO-252-2,86.36,-70.045,90.0,top
R1,100Ω,R_1206_3216Metric,102.235,-69.215,180.0,top
R2,100Ω,R_1206_3216Metric,78.74,-62.23,0.0,top
R3,100Ω,R_1206_3216Metric,78.74,-48.895,0.0,top
R4,100Ω,R_1206_3216Metric,78.74,-69.215,0.0,top
R5,100Ω,R_1206_3216Metric,78.74,-72.39,0.0,top
R6,100Ω,R_1206_3216Metric,78.74,-82.55,0.0,top
R7,100Ω,R_1206_3216Metric,102.235,-82.55,180.0,top
R8,100Ω,R_1206_3216Metric,78.74,-59.055,0.0,top
R9,100Ω,R_1206_3216Metric,78.74,-52.07,0.0,top
R10,100Ω,R_1206_3216Metric,102.235,-59.055,180.0,top
R11,100Ω,R_1206_3216Metric,102.235,-72.39,180.0,top
R12,100Ω,R_1206_3216Metric,102.235,-52.07,180.0,top
R13,100Ω,R_1206_3216Metric,102.235,-48.895,180.0,top
R14,100Ω,R_1206_3216Metric,102.235,-79.375,180.0,top
R15,100Ω,R_1206_3216Metric,102.235,-62.23,180.0,top
R16,100Ω,R_1206_3216Metric,78.74,-79.375,0.0,top
R17,100Ω,R_0402_1005Metric,93.091,-77.089,90.0,top
R18,100Ω,R_0402_1005Metric,86.741,-77.216,90.0,top
U1,UCC27517,SOT-23-5,94.107,-80.391,270.0,top
U2,UCC27517,SOT-23-5,87.757,-80.518,270.0,top
