### Module positions - created on Wed 16 Nov 2022 09:29:39 AM EST ###
### Printed by Pcbnew version 6.0.2+dfsg-1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val           Package                   PosX       PosY       Rot  Side
D1        QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -58.4200    0.0000  top
D2        QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -60.9600    0.0000  top
D3        QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -63.5000    0.0000  top
D4        QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -66.0400    0.0000  top
D5        QBL7IW60D-CW  LED_0402_1005Metric    66.6750   -58.4200    0.0000  top
D6        QBL7IW60D-CW  LED_0402_1005Metric    66.6750   -60.9600    0.0000  top
D7        QBL7IW60D-CW  LED_0402_1005Metric    66.6750   -63.5000    0.0000  top
D8        QBL7IW60D-CW  LED_0402_1005Metric    66.6750   -66.0400    0.0000  top
D9        QBL7IW60D-CW  LED_0402_1005Metric    70.4850   -58.4200    0.0000  top
D10       QBL7IW60D-CW  LED_0402_1005Metric    70.4850   -60.9600    0.0000  top
D11       QBL7IW60D-CW  LED_0402_1005Metric    70.4850   -63.5000    0.0000  top
D12       QBL7IW60D-CW  LED_0402_1005Metric    70.4850   -66.0400    0.0000  top
D13       QBL7IW60D-CW  LED_0402_1005Metric    74.2950   -58.4200    0.0000  top
D14       QBL7IW60D-CW  LED_0402_1005Metric    74.2950   -60.9600    0.0000  top
D15       QBL7IW60D-CW  LED_0402_1005Metric    74.2950   -63.5000    0.0000  top
D16       QBL7IW60D-CW  LED_0402_1005Metric    74.2950   -66.0400    0.0000  top
D17       QBL7IW60D-CW  LED_0402_1005Metric    78.1050   -58.4200    0.0000  top
D18       QBL7IW60D-CW  LED_0402_1005Metric    78.1050   -60.9600    0.0000  top
D19       QBL7IW60D-CW  LED_0402_1005Metric    78.1050   -63.5000    0.0000  top
D20       QBL7IW60D-CW  LED_0402_1005Metric    78.1050   -66.0400    0.0000  top
D21       QBL7IW60D-CW  LED_0402_1005Metric    81.9150   -58.4200    0.0000  top
D22       QBL7IW60D-CW  LED_0402_1005Metric    81.9150   -60.9600    0.0000  top
D23       QBL7IW60D-CW  LED_0402_1005Metric    81.9150   -63.5000    0.0000  top
D24       QBL7IW60D-CW  LED_0402_1005Metric    81.9150   -66.0400    0.0000  top
D25       QBL7IW60D-CW  LED_0402_1005Metric    85.7250   -58.4200    0.0000  top
D26       QBL7IW60D-CW  LED_0402_1005Metric    85.7250   -60.9600    0.0000  top
D27       QBL7IW60D-CW  LED_0402_1005Metric    85.7250   -63.5000    0.0000  top
D28       QBL7IW60D-CW  LED_0402_1005Metric    85.7250   -66.0400    0.0000  top
D29       QBL7IW60D-CW  LED_0402_1005Metric    89.5350   -58.4200    0.0000  top
D30       QBL7IW60D-CW  LED_0402_1005Metric    89.5350   -60.9600    0.0000  top
D31       QBL7IW60D-CW  LED_0402_1005Metric    89.5350   -63.5000    0.0000  top
D32       QBL7IW60D-CW  LED_0402_1005Metric    89.5350   -66.0400    0.0000  top
D33       QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -68.5800    0.0000  top
D34       QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -71.1200    0.0000  top
D35       QBL7IW60D-CW  LED_0402_1005Metric    62.8650   -73.6600    0.0000  top
