"Designator","Mid X","Mid Y","Layer","Rotation"
"R5","76.2mm","-66.04mm","top","90.0"
"D24","81.915mm","-66.04mm","top","0.0"
"R4","72.39mm","-66.04mm","top","90.0"
"D44","70.485mm","-76.2mm","top","0.0"
"D1","62.865mm","-58.42mm","top","0.0"
"D17","78.105mm","-58.42mm","top","0.0"
"D41","70.485mm","-68.58mm","top","0.0"
"R11","68.58mm","-76.2mm","top","90.0"
"D45","74.295mm","-68.58mm","top","0.0"
"R14","80.01mm","-76.2mm","top","90.0"
"D2","62.865mm","-60.96mm","top","0.0"
"D7","66.675mm","-63.5mm","top","0.0"
"D51","78.105mm","-73.66mm","top","0.0"
"D28","85.725mm","-66.04mm","top","0.0"
"R3","68.58mm","-66.04mm","top","90.0"
"D33","62.865mm","-68.58mm","top","0.0"
"D22","81.915mm","-60.96mm","top","0.0"
"D63","89.535mm","-73.66mm","top","0.0"
"D60","85.725mm","-76.2mm","top","0.0"
"D52","78.105mm","-76.2mm","top","0.0"
"D53","81.915mm","-68.58mm","top","0.0"
"D57","85.725mm","-68.58mm","top","0.0"
"D25","85.725mm","-58.42mm","top","0.0"
"D9","70.485mm","-58.42mm","top","0.0"
"D55","81.915mm","-73.66mm","top","0.0"
"D62","89.535mm","-71.12mm","top","0.0"
"D11","70.485mm","-63.5mm","top","0.0"
"D42","70.485mm","-71.12mm","top","0.0"
"D47","74.295mm","-73.66mm","top","0.0"
"D61","89.535mm","-68.58mm","top","0.0"
"D8","66.675mm","-66.04mm","top","0.0"
"D37","66.675mm","-68.58mm","top","0.0"
"D56","81.915mm","-76.2mm","top","0.0"
"D58","85.725mm","-71.12mm","top","0.0"
"D48","74.295mm","-76.2mm","top","0.0"
"D31","89.535mm","-63.5mm","top","0.0"
"D6","66.675mm","-60.96mm","top","0.0"
"D14","74.295mm","-60.96mm","top","0.0"
"D19","78.105mm","-63.5mm","top","0.0"
"R15","83.82mm","-76.2mm","top","90.0"
"D20","78.105mm","-66.04mm","top","0.0"
"D36","62.865mm","-76.2mm","top","0.0"
"D26","85.725mm","-60.96mm","top","0.0"
"J1","77.47mm","-86.36mm","top","-90.0"
"D18","78.105mm","-60.96mm","top","0.0"
"D23","81.915mm","-63.5mm","top","0.0"
"D54","81.915mm","-71.12mm","top","0.0"
"D16","74.295mm","-66.04mm","top","0.0"
"D29","89.535mm","-58.42mm","top","0.0"
"D64","89.535mm","-76.2mm","top","0.0"
"R8","87.63mm","-66.04mm","top","90.0"
"D59","85.725mm","-73.66mm","top","0.0"
"D27","85.725mm","-63.5mm","top","0.0"
"D5","66.675mm","-58.42mm","top","0.0"
"R9","60.96mm","-76.2mm","top","90.0"
"D43","70.485mm","-73.66mm","top","0.0"
"R7","83.82mm","-66.04mm","top","90.0"
"D3","62.865mm","-63.5mm","top","0.0"
"R1","60.96mm","-66.04mm","top","90.0"
"R13","76.2mm","-76.2mm","top","90.0"
"C1","65.405mm","-81.532349mm","top","-90.0"
"R16","87.63mm","-76.2mm","top","90.0"
"D35","62.865mm","-73.66mm","top","0.0"
"D38","66.675mm","-71.12mm","top","0.0"
"D10","70.485mm","-60.96mm","top","0.0"
"D34","62.865mm","-71.12mm","top","0.0"
"D30","89.535mm","-60.96mm","top","0.0"
"D13","74.295mm","-58.42mm","top","0.0"
"D21","81.915mm","-58.42mm","top","0.0"
"D46","74.295mm","-71.12mm","top","0.0"
"D39","66.675mm","-73.66mm","top","0.0"
"D32","89.535mm","-66.04mm","top","0.0"
"R2","64.77mm","-66.04mm","top","90.0"
"R6","80.01mm","-66.04mm","top","90.0"
"R10","64.77mm","-76.2mm","top","90.0"
"D40","66.675mm","-76.2mm","top","0.0"
"D12","70.485mm","-66.04mm","top","0.0"
"D49","78.105mm","-68.58mm","top","0.0"
"D4","62.865mm","-66.04mm","top","0.0"
"D15","74.295mm","-63.5mm","top","0.0"
"D50","78.105mm","-71.12mm","top","0.0"
"R12","72.39mm","-76.2mm","top","90.0"
