"Designator","JLCPCB Part #","Comment","Footprint"
"C1, C6, C12, ","C52923","1uF","Capacitor_SMD:C_0402_1005Metric"
"C2, C5, ","C45783","22uF","Capacitor_SMD:C_0805_2012Metric"
"C3, C4, ","C307331","100nF","Capacitor_SMD:C_0402_1005Metric"
"C7, C8, C9, C13, C14, C15, C16, C17, C18, C19, C20, ","C1525","0.1uF","Capacitor_SMD:C_0402_1005Metric"
"C10, C11, ","C1548","15pF","Capacitor_SMD:C_0402_1005Metric"
"D1, ","C22452","SS54","Diode_SMD:D_SMA"
"J1, ","C165948","TYPE-C-31-M-12","01-rickbassham:HRO_TYPE-C-31-M-12"
"J2, J3, ","","Conn_01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical"
"JP1, ","","Boot_Mode","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"Q1, ","C8545","2N7002","Package_TO_SOT_SMD:SOT-23"
"R1, ","C25908","5.6kΩ","Resistor_SMD:R_0402_1005Metric"
"R2, ","C25744","10kΩ","Resistor_SMD:R_0402_1005Metric"
"R3, R4, ","C25190","27Ω","Resistor_SMD:R_0603_1608Metric"
"R5, ","C25087","200Ω","Resistor_SMD:R_0402_1005Metric"
"R6, ","C25086","1Ω","Resistor_SMD:R_0402_1005Metric"
"R7, ","C25764","200kΩ","Resistor_SMD:R_0402_1005Metric"
"R8, ","C25741","100kΩ","Resistor_SMD:R_0402_1005Metric"
"R9, R10, R11, ","C11702","1kΩ","Resistor_SMD:R_0402_1005Metric"
"R12, R13, ","","5.1kΩ","Resistor_SMD:R_0402_1005Metric"
"R14, ","","1MΩ","Resistor_SMD:R_0402_1005Metric"
"SW1, ","C318884","SW_Push","01-rickbassham:SW_TS-1187A-B-A-B"
"U1, ","C6186","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U2, ","C9002","X322512MSB4SI","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm"
"U3, ","C2040","RP2040","01-rickbassham:RP2040"
"U4, ","C97521","W25Q128JVSIQ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
