"Designator","Mid X","Mid Y","Layer","Rotation"
"SW1","121.412mm","-114.681mm","top","0.0"
"U1","149.86mm","-113.792mm","top","0.0"
"C10","120.523mm","-104.013mm","top","180.0"
"C8","138.303mm","-109.347mm","top","0.0"
"R11","148.846mm","-107.315mm","top","0.0"
"J2","167.64mm","-101.6mm","top","-90.0"
"U2","120.523mm","-106.299mm","top","180.0"
"R8","149.987mm","-109.601mm","top","0.0"
"C5","146.431mm","-108.331mm","top","90.0"
"Q1","137.668mm","-113.284mm","top","180.0"
"C1","155.575mm","-113.284mm","top","0.0"
"C2","156.337mm","-110.744mm","top","0.0"
"C13","129.032mm","-105.283mm","top","90.0"
"C18","123.317mm","-110.998mm","top","180.0"
"R9","120.523mm","-108.585mm","top","180.0"
"U4","142.621mm","-109.347mm","top","0.0"
"R1","163.957mm","-116.078mm","top","0.0"
"R7","153.035mm","-109.601mm","top","180.0"
"C16","136.398mm","-110.998mm","top","0.0"
"R10","124.841mm","-114.681mm","top","-90.0"
"C12","135.128mm","-115.57mm","top","-90.0"
"R5","143.256mm","-114.681mm","top","180.0"
"R13","161.417mm","-107.95mm","top","-90.0"
"C15","133.604mm","-115.189mm","top","0.0"
"R12","160.528mm","-112.522mm","top","0.0"
"D1","158.369mm","-115.57mm","top","0.0"
"J3","119.38mm","-119.38mm","top","90.0"
"C19","135.763mm","-106.045mm","top","90.0"
"C4","147.955mm","-109.093mm","top","90.0"
"U3","130.302mm","-110.49mm","top","-90.0"
"R4","160.528mm","-111.252mm","top","0.0"
"R6","141.224mm","-114.681mm","top","0.0"
"R2","165.989mm","-116.078mm","top","0.0"
"C6","136.144mm","-115.951mm","top","-90.0"
"C9","151.511mm","-109.093mm","top","90.0"
"C7","125.222mm","-111.633mm","top","180.0"
"C17","138.303mm","-110.363mm","top","0.0"
"C11","118.745mm","-109.093mm","top","-90.0"
"JP1","153.939mm","-107.061mm","top","90.0"
"C3","155.575mm","-112.268mm","top","0.0"
"R3","160.528mm","-109.728mm","top","0.0"
"C14","129.413mm","-116.205mm","top","-90.0"
"C20","144.907mm","-114.046mm","top","-90.0"
"R14","167.64mm","-116.586mm","top","90.0"
"J1","167.64mm","-110.49mm","top","90.0"
