"Designator","Mid X","Mid Y","Layer","Rotation"
"U2","39.37mm","-78.74mm","top","90.0"
"SW1","39.5805mm","-107.95mm","top","0.0"
"C5","43.942mm","-84.328mm","top","90.0"
"C17","49.022mm","-120.65mm","top","90.0"
"C2","44.45mm","-97.917mm","top","-90.0"
"R4","42.418mm","-97.917mm","top","-90.0"
"R7","50.038mm","-104.394mm","top","0.0"
"SW2","47.3275mm","-107.95mm","top","0.0"
"R1","47.244mm","-75.184mm","top","0.0"
"C11","48.514mm","-87.376mm","top","90.0"
"C35","47.498mm","-123.698mm","top","0.0"
"C12","47.244mm","-74.168mm","top","0.0"
"C4","47.752mm","-84.328mm","top","90.0"
"C8","37.846mm","-92.329mm","top","180.0"
"C19","36.83mm","-118.11mm","top","180.0"
"J2","30.48mm","-73.66mm","top","0.0"
"R12","46.355mm","-80.01mm","top","90.0"
"R14","37.592mm","-127.635mm","top","90.0"
"C1","46.736mm","-84.328mm","top","90.0"
"C37","53.086mm","-116.586mm","top","0.0"
"R28","51.054mm","-116.586mm","top","180.0"
"R22","42.672mm","-127.254mm","top","90.0"
"R16","36.576mm","-127.635mm","top","90.0"
"D1","46.482mm","-76.708mm","top","180.0"
"P1","42.926mm","-69.85mm","top","180.0"
"R8","50.038mm","-76.454mm","top","-90.0"
"C3","42.926mm","-84.328mm","top","90.0"
"C31","43.688mm","-127.635mm","top","90.0"
"C6","44.958mm","-84.328mm","top","90.0"
"C23","42.672mm","-125.222mm","top","180.0"
"C29","54.61mm","-134.874mm","top","90.0"
"R17","38.608mm","-127.635mm","top","90.0"
"Y1","43.18mm","-101.092mm","top","0.0"
"C32","47.752mm","-127.762mm","top","90.0"
"J1","38.354mm","-97.917mm","top","0.0"
"R11","45.593mm","-113.538mm","top","0.0"
"P2","43.18mm","-139.7mm","top","0.0"
"C18","37.211mm","-125.984mm","top","180.0"
"R25","49.403mm","-128.016mm","top","-90.0"
"R27","49.022mm","-118.618mm","top","90.0"
"C9","43.434mm","-97.917mm","top","-90.0"
"C7","38.481mm","-88.138mm","top","180.0"
"U1","50.546mm","-73.66mm","top","180.0"
"C13","53.34mm","-73.025mm","top","-90.0"
"C27","45.974mm","-99.568mm","top","90.0"
"C15","35.687mm","-113.792mm","top","0.0"
"R20","35.56mm","-127.635mm","top","90.0"
"R18","47.498mm","-114.808mm","top","0.0"
"Y2","51.689mm","-118.999mm","top","0.0"
"C20","36.83mm","-119.761mm","top","180.0"
"R9","44.45mm","-80.01mm","top","90.0"
"J3","55.88mm","-121.92mm","top","180.0"
"U3","43.18mm","-119.38mm","top","270.0"
"R6","43.434mm","-104.648mm","top","0.0"
"R2","44.704mm","-74.676mm","top","-90.0"
"C28","51.054mm","-76.454mm","top","90.0"
"C34","44.704mm","-125.476mm","top","180.0"
"R21","46.736mm","-127mm","top","90.0"
"R10","39.624mm","-127.635mm","top","90.0"
"R15","48.768mm","-84.328mm","top","90.0"
"C14","52.578mm","-76.2mm","top","0.0"
"R26","37.338mm","-121.412mm","top","-90.0"
"R13","49.784mm","-84.328mm","top","-90.0"
"R3","45.72mm","-74.676mm","top","90.0"
"C25","40.64mm","-75.438mm","top","180.0"
"U4","43.58mm","-91.1mm","top","0.0"
"C26","43.434mm","-103.378mm","top","0.0"
"C30","40.64mm","-127.635mm","top","90.0"
"C33","44.704mm","-127.635mm","top","90.0"
"L1","35.670348mm","-115.889164mm","top","-90.0"
"C10","51.435mm","-94.615mm","top","0.0"
"C22","40.64mm","-125.222mm","top","180.0"
"Q1","50.292mm","-80.264mm","top","270.0"
"R24","41.656mm","-127.635mm","top","90.0"
"C24","46.736mm","-125.222mm","top","0.0"
"R5","49.022mm","-76.454mm","top","-90.0"
"C21","38.354mm","-123.19mm","top","0.0"
"C36","51.78mm","-121.412mm","top","0.0"
"R23","45.72mm","-127.635mm","top","90.0"
"R19","50.8mm","-128.016mm","top","-90.0"
"C16","41.148mm","-113.538mm","top","180.0"
