Comment,Designator,Footprint,LCSC
800mA,L1,L_0805_2012Metric,C1015
12.4kΩ,R29,R_0402_1005Metric,C11692
1kΩ,"R12,R13,R9",R_0402_1005Metric,C11702
0.1uF,"C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C37,C39,C7,C8,C9",C_0402_1005Metric,C1525
22nF,C34,C_0402_1005Metric,C1532
6.8nF,"C35,C36",C_0402_1005Metric,C1542
15pF,"C10,C11",C_0402_1005Metric,C1548
18pF,"C31,C32",C_0402_1005Metric,C1549
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,C165948
0Ω,R15,R_0402_1005Metric,C17168
RP2040,U2,RP2040,C2040
SS54,D1,D_SMA,C22452
4.7uF,C38,C_0402_1005Metric,C23733
10Ω,R16,R_0402_1005Metric,C25077
1Ω,R6,R_0402_1005Metric,C25086
200Ω,R5,R_0402_1005Metric,C25087
470Ω,"R22,R28",R_0402_1005Metric,C25117
49.9Ω,"R18,R19,R26,R27",R_0402_1005Metric,C25120
27Ω,"R3,R4",R_0603_1608Metric,C25190
100kΩ,R8,R_0402_1005Metric,C25741
10kΩ,R2,R_0402_1005Metric,C25744
200kΩ,R7,R_0402_1005Metric,C25764
4.7kΩ,"R17,R21",R_0402_1005Metric,C25900
5.1kΩ,"R10,R11",R_0402_1005Metric,C25905
5.6kΩ,R1,R_0402_1005Metric,C25908
1MΩ,R14,R_0402_1005Metric,C26083
3.3Ω,"R20,R23,R24,R25",R_0402_1005Metric,C269403
100nF,"C3,C4",C_0402_1005Metric,C307331
SW_Push,"SW1,SW2",SW_TS-1187A-B-A-B,C318884
W5500,U4,LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm,C32843
22uF,"C2,C5",C_0805_2012Metric,C45783
1uF,"C1,C12,C21,C6",C_0402_1005Metric,C52923
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
2N7002,Q1,SOT-23,C8545
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
25MHz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006
RJ45_LED_Shielded,P1,J1B1211CCD,C910371
1nF/2kV,C33,C_1206_3216Metric,C9196
W25Q128JVSIQ,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
