Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,104.14,-127.635,90.0,top
C2,22uF,C_0805_2012Metric,105.283,-131.572,0.0,top
C3,100nF,C_0402_1005Metric,104.775,-129.921,0.0,top
C4,100nF,C_0402_1005Metric,104.775,-135.382,0.0,top
C5,22uF,C_0805_2012Metric,105.283,-133.731,0.0,top
C6,1uF,C_0402_1005Metric,90.424,-116.967,0.0,top
C7,0.1uF,C_0402_1005Metric,91.44,-113.157,0.0,top
C8,0.1uF,C_0402_1005Metric,76.962,-116.586,180.0,top
C9,0.1uF,C_0402_1005Metric,98.905,-129.286,0.0,top
C10,15pF,C_0402_1005Metric,73.068,-111.467,180.0,top
C11,15pF,C_0402_1005Metric,70.401,-113.753,90.0,top
C12,1uF,C_0402_1005Metric,90.396,-117.983,0.0,top
C13,0.1uF,C_0402_1005Metric,91.44,-114.173,0.0,top
C14,0.1uF,C_0402_1005Metric,91.44,-115.189,0.0,top
C15,0.1uF,C_0402_1005Metric,76.962,-115.57,180.0,top
C16,0.1uF,C_0402_1005Metric,87.63,-119.888,0.0,top
C17,0.1uF,C_0402_1005Metric,82.296,-121.285,-90.0,top
C18,0.1uF,C_0402_1005Metric,87.376,-109.728,90.0,top
C19,0.1uF,C_0402_1005Metric,82.55,-108.585,90.0,top
C20,0.1uF,C_0402_1005Metric,103.378,-107.061,0.0,top
C21,1uF,C_0402_1005Metric,70.104,-119.126,180.0,top
C22,0.1uF,C_0402_1005Metric,78.994,-129.54,0.0,top
C23,0.1uF,C_0402_1005Metric,93.98,-150.241,90.0,top
C24,0.1uF,C_0402_1005Metric,66.675,-131.953,-90.0,top
C25,0.1uF,C_0402_1005Metric,64.389,-127.0,180.0,top
C26,0.1uF,C_0402_1005Metric,67.945,-121.92,180.0,top
C27,0.1uF,C_0402_1005Metric,69.85,-135.255,-90.0,top
C28,0.1uF,C_0402_1005Metric,64.361,-129.159,180.0,top
C29,0.1uF,C_0402_1005Metric,71.12,-135.255,-90.0,top
C30,0.1uF,C_0402_1005Metric,73.66,-135.255,-90.0,top
C31,18pF,C_0402_1005Metric,83.439,-129.413,0.0,top
C32,18pF,C_0402_1005Metric,86.106,-127.127,-90.0,top
C33,1nF/2kV,C_1206_3216Metric,73.66,-146.05,-90.0,top
C34,22nF,C_0402_1005Metric,81.661,-135.128,90.0,top
C35,6.8nF,C_0402_1005Metric,83.566,-135.382,90.0,top
C36,6.8nF,C_0402_1005Metric,73.406,-139.192,180.0,top
C37,0.1uF,C_0402_1005Metric,75.664,-138.557,180.0,top
C38,4.7uF,C_0402_1005Metric,72.644,-135.283,-90.0,top
C39,0.1uF,C_0402_1005Metric,75.184,-133.985,0.0,top
D1,SS54,D_SMA,101.727,-126.238,90.0,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,109.601,-119.761,90.0,top
L1,800mA,L_0805_2012Metric,69.596,-120.523,180.0,top
P1,RJ45_LED_Shielded,J1B1211CCD,85.09,-147.32,0.0,top
Q1,2N7002,SOT-23,95.885,-128.143,0.0,top
R1,5.6kΩ,R_0402_1005Metric,98.806,-125.095,180.0,top
R2,10kΩ,R_0402_1005Metric,98.806,-124.079,0.0,top
R3,27Ω,R_0603_1608Metric,100.584,-116.078,0.0,top
R4,27Ω,R_0603_1608Metric,100.584,-117.602,0.0,top
R5,200Ω,R_0402_1005Metric,95.504,-121.92,0.0,top
R6,1Ω,R_0402_1005Metric,93.472,-121.92,0.0,top
R7,200kΩ,R_0402_1005Metric,98.933,-127.254,180.0,top
R8,100kΩ,R_0402_1005Metric,98.933,-128.27,180.0,top
R9,1kΩ,R_0402_1005Metric,73.068,-116.039,180.0,top
R10,5.1kΩ,R_0402_1005Metric,100.457,-118.872,0.0,top
R11,5.1kΩ,R_0402_1005Metric,100.457,-114.808,0.0,top
R12,1kΩ,R_0402_1005Metric,68.707,-116.713,180.0,top
R13,1kΩ,R_0402_1005Metric,69.723,-104.394,180.0,top
R14,1MΩ,R_0402_1005Metric,80.772,-127.127,90.0,top
R15,0Ω,R_0402_1005Metric,83.439,-124.841,180.0,top
